tau	N_greek	x	epsilon
0.001	1.0000000001482097	0.5000000000741049	4.934396343415821
0.10100000000000008	inf	inf	inf
0.20100000000000015	nan	nan	nan
0.3010000000000002	nan	nan	nan
0.4010000000000003	nan	nan	nan
0.5010000000000003	nan	nan	nan
0.6010000000000004	nan	nan	nan
0.7010000000000005	nan	nan	nan
0.8010000000000006	nan	nan	nan
0.9010000000000007	nan	nan	nan
1.0010000000000006	nan	nan	nan
1.1009999999999895	nan	nan	nan
1.2009999999999785	nan	nan	nan
1.3009999999999675	nan	nan	nan
1.4009999999999565	nan	nan	nan
1.5009999999999455	nan	nan	nan
1.6009999999999345	nan	nan	nan
1.7009999999999235	nan	nan	nan
1.8009999999999124	nan	nan	nan
1.9009999999999014	nan	nan	nan
2.0009999999998906	nan	nan	nan
2.1009999999998796	nan	nan	nan
2.2009999999998686	nan	nan	nan
2.3009999999998576	nan	nan	nan
2.4009999999998466	nan	nan	nan
2.5009999999998356	nan	nan	nan
2.6009999999998246	nan	nan	nan
2.7009999999998136	nan	nan	nan
2.8009999999998025	nan	nan	nan
2.9009999999997915	nan	nan	nan
3.0009999999997805	nan	nan	nan
3.1009999999997695	nan	nan	nan
3.2009999999997585	nan	nan	nan
3.3009999999997475	nan	nan	nan
3.4009999999997365	nan	nan	nan
3.5009999999997254	nan	nan	nan
3.6009999999997144	nan	nan	nan
3.7009999999997034	nan	nan	nan
3.8009999999996924	nan	nan	nan
3.9009999999996814	nan	nan	nan
4.000999999999671	nan	nan	nan
4.100999999999704	nan	nan	nan
4.200999999999738	nan	nan	nan
4.300999999999771	nan	nan	nan
4.400999999999804	nan	nan	nan
4.500999999999838	nan	nan	nan
4.600999999999871	nan	nan	nan
4.700999999999905	nan	nan	nan
4.800999999999938	nan	nan	nan
4.900999999999971	nan	nan	nan
5.001000000000005	nan	nan	nan
5.101000000000038	nan	nan	nan
5.201000000000072	nan	nan	nan
5.301000000000105	nan	nan	nan
5.401000000000138	nan	nan	nan
5.501000000000172	nan	nan	nan
5.601000000000205	nan	nan	nan
5.7010000000002385	nan	nan	nan
5.801000000000272	nan	nan	nan
5.901000000000305	nan	nan	nan
6.001000000000339	nan	nan	nan
6.101000000000372	nan	nan	nan
6.2010000000004055	nan	nan	nan
6.301000000000439	nan	nan	nan
6.401000000000472	nan	nan	nan
6.501000000000506	nan	nan	nan
6.601000000000539	nan	nan	nan
6.7010000000005725	nan	nan	nan
6.801000000000606	nan	nan	nan
6.901000000000639	nan	nan	nan
7.001000000000673	nan	nan	nan
7.101000000000706	nan	nan	nan
7.2010000000007395	nan	nan	nan
7.301000000000773	nan	nan	nan
7.401000000000806	nan	nan	nan
7.50100000000084	nan	nan	nan
7.601000000000873	nan	nan	nan
7.7010000000009065	nan	nan	nan
7.80100000000094	nan	nan	nan
7.901000000000973	nan	nan	nan
8.001000000001005	nan	nan	nan
8.10100000000095	nan	nan	nan
8.201000000000894	nan	nan	nan
8.301000000000839	nan	nan	nan
8.401000000000783	nan	nan	nan
8.501000000000728	nan	nan	nan
8.601000000000672	nan	nan	nan
8.701000000000617	nan	nan	nan
8.801000000000561	nan	nan	nan
8.901000000000506	nan	nan	nan
9.00100000000045	nan	nan	nan
9.101000000000395	nan	nan	nan
9.20100000000034	nan	nan	nan
9.301000000000284	nan	nan	nan
9.401000000000229	nan	nan	nan
9.501000000000174	nan	nan	nan
9.601000000000118	nan	nan	nan
9.701000000000063	nan	nan	nan
9.801000000000007	nan	nan	nan
9.900999999999952	nan	nan	nan
